,Unnamed: 0,file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update,PRES,PRES_STD,DEPTH,DEPTH_STD,SIGMA0,SIGMA0_STD,TEMP,TEMP_STD,PSAL,PSAL_STD,DOXY,DOXY_STD,PRES_ERROR,PRES_ERROR_STD,PRES_COMMENT,PRES_MODE,TEMP_ERROR,TEMP_ERROR_STD,TEMP_COMMENT,TEMP_MODE,PSAL_ERROR,PSAL_ERROR_STD,PSAL_COMMENT,PSAL_MODE,DOXY_ERROR,DOXY_ERROR_STD,DOXY_COMMENT,DOXY_MODE,date_format
0,0,aoml/4903365/profiles/SD4903365_001.nc,20210813140632,59.916,-39.421,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175721,980.0050099690756,24.08275359964672,968.484845818457,23.74114472162344,1027.752460423231,0.0007747025047237,3.389691690603892,0.0039143859463833,34.86824989318848,0.0007533642986237,293.40892028808594,0.1657153251642052,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.59215247631073,0.0007227666598622,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-08-13 14:06:32
1,1,aoml/4903365/profiles/SD4903365_002.nc,20210823120555,59.774,-39.151,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175733,979.9599863688152,24.11946205030545,968.45148655063,23.777570292186635,1027.7496543365526,0.0005982256756522,3.39609169960022,0.0060824189422732,34.865501403808594,0.0005219460967299,292.8825517134233,0.1821862114573437,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.591116905212402,0.0011673570443149,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-08-23 12:05:55
2,2,aoml/4903365/profiles/SD4903365_003.nc,20210902104031,59.327,-40.424,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175746,980.2349751790364,23.9073725760488,968.7575807390302,23.56935363987513,1027.7516180111088,0.0005521000709268,3.371324996153513,0.0038534690672852,34.8650016784668,0.0,293.4738797274503,0.1587985252095417,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.595655571330678,0.000731095529032,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-09-02 10:40:31
3,3,aoml/4903365/profiles/SD4903365_004.nc,20210912085807,59.058,-40.28,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175758,979.9983317057292,23.8282624716614,968.5454338799636,23.491918214538074,1027.7491667417162,0.0008039528346742,3.414958337942759,0.0064027735769614,34.867167154947914,0.0003890356509596,291.925087668679,0.2642154223616698,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.587633393027565,0.0012160570300765,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-09-12 08:58:07
4,4,aoml/4903365/profiles/SD4903365_005.nc,20210922075338,58.984,-40.738,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175810,980.6116383870444,24.02735025300702,969.1559821487014,23.68824027477521,1027.7519471885237,0.0007669543473076,3.4053916533788047,0.0071325552650401,34.86949920654297,0.0005219460967299,291.878168741862,0.2033879717072199,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.58927047252655,0.0013043239564005,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-09-22 07:53:38
5,5,aoml/4903365/profiles/SD4903365_006.nc,20211002062837,59.474,-40.564,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175822,980.1316477457682,24.02842579132169,968.6441640800218,23.68840380181015,1027.7543049607882,0.0009101662923999,3.391883353392283,0.0043488440065979,34.87083212534586,0.0009377237468785,291.9483448375355,0.158621411819598,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.591594132510099,0.0008417574309253,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-10-02 06:28:37
6,6,aoml/4903365/profiles/SD4903365_007.nc,20211012053050,59.478,-40.328,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104175835,979.9750162760416,23.956845282762952,968.4894242690324,23.61786336985921,1027.7521076180838,0.0006741748087633,3.418283323446909,0.0056595840714955,34.871249516805015,0.0006229144482937,291.0651938698509,0.2096717466747402,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.586858315901323,0.001080339327205,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2021-10-12 05:30:50
7,7,aoml/4903365/profiles/SD4903365_022.nc,20220311075408,59.598,-38.765,A,869,AO,PRES TEMP PSAL DOXY CHLA BBP700 CDOM PH_IN_SITU_TOTAL NITRATE,AAADAARDD,20240104180144,980.078163840554,25.068893930396488,968.581636366958,24.713859940639846,1027.753528037398,0.0008264580008445,3.4021636572751133,0.012196715564026,34.87109166925604,0.0015145994655517,289.3875793457031,0.3136676892958937,,,Pressure adjusted at real time based on most recent valid surface pressure,A,,,,A,,,,A,7.589504051208496,0.0022604870411739,"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399",D,2022-03-11 07:54:08
8,8,coriolis/6902802/profiles/SD6902802_097.nc,20210221061030,59.543,-39.359,A,841,IF,PRES TEMP PSAL DOXY,DDDD,20230320160930,1011.7910833075496,29.332825920977783,999.8508031838372,28.91680502879868,1027.7617710817465,0.000500526656751,3.2949488281023385,0.0127085200064461,34.868300768793844,0.0016451083868532,294.0763400330836,0.4285275182654685,2.400000095367432,0.0,No adjustement was necessary -Calibration error is manufacturer specified accuracy,D,0.0020000000949949,0.0,No adjustement was necessary -Calibration error is manufacturer specified accuracy,D,0.0099999997764825,0.0,"Salinity drift or offset detected - OWC fit is adopted. Error = 0.01 provided by the PI. OWC Method, ,",D,8.822290245367556,0.012855810061997,Pressure effect correction on DOXYAdjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_81/,D,2021-02-21 06:10:30
9,9,coriolis/6902802/profiles/SD6902802_098.nc,20210303061730,59.647,-38.719,A,841,IF,PRES TEMP PSAL DOXY,DDDD,20230320160942,1012.299994506836,28.99915100238637,1000.3441542613444,28.587561602801667,1027.7611739104022,0.0006814155558622,3.31403781414032,0.0094958807540768,34.86983997344971,0.0012489961940291,293.5359210205078,0.2658566217957891,2.400000095367432,0.0,No adjustement was necessary -Calibration error is manufacturer specified accuracy,D,0.0020000000949949,0.0,No adjustement was necessary -Calibration error is manufacturer specified accuracy,D,0.0099999997764825,0.0,"Salinity drift or offset detected - OWC fit is adopted. Error = 0.01 provided by the PI. OWC Method, ,",D,8.806077556610107,0.007975704286853,Pressure effect correction on DOXYAdjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_81/,D,2021-03-03 06:17:30
